session,ChargePoint,Connector,starttime_parking,endtime_parking,StartCard,connected_time_float,charged_time_float,total_energy,max_power,start_hour,day_no,energy_supplied,soc_arr,charged_time,connected_time,ts_arr,ts_dep,ts_soj,laxity,depart_hour,xi,laxity_float
3263398,352c0ff8eea549082975be1dabbb5dff,1,2019-01-02 14:11:00,2019-01-03 11:38:00,64ce7b5fbeb1f10127e8c26e686d50dcb046b017af5eaa0ce5255bc459381fcd,21.46,2.56,7.1,3.2,14,1,27.5968,0.62504,3.0,22.0,166598.0,166620.0,22.0,19.44,36.0,104.76022036319118,18.9
3263583,fe6c3a7b44bedd2fc667a2278f693d69,2,2019-01-02 16:33:00,2019-01-02 16:54:00,1955969fde331a58c508c0da5c28e3da63610bc0ab9012c007b8c2c342f7386a,0.34,0.34,1.16,3.48,16,1,3.6652,0.924185,1.0,1.0,166600.0,166601.0,1.0,0.6599999999999996,17.0,3.556674148133032,-3.8857805861880484e-16
3263592,9973053e0bcac63d784547c34ac28c4f,1,2019-01-02 16:37:00,2019-01-02 18:09:00,8127aacd173e1e494b0b794a44a03a029d51e7019ec3829c7931679f6267dce8,1.52,1.52,16.98,12.664,16,1,16.3856,0.76518,2.0,2.0,166600.0,166602.0,2.0,0.48,18.0,2.5866721077331154,0.0
3263542,0ea0ffd4f9f2708a3a1ce80847b6c805,1,2019-01-02 16:06:00,2019-01-02 17:09:00,fbf44edd8f97e2f24fb85d522a45f7fb63272107d299abda3069b680d7e4191e,1.06,1.06,3.75,3.6,16,1,11.4268,0.8271649999999999,2.0,2.0,166600.0,166602.0,2.0,0.9399999999999996,18.0,5.065566210977349,-4.440892098500626e-16
3263607,12a1c3e37316af5a564ae808978d5ae5,1,2019-01-02 16:48:00,2019-01-03 05:24:00,4619e473179c1a18730d118ec9b0af0e71c4a536e91474f4a2193021f0c32db9,12.59,2.44,7.92,3.52,16,1,26.3032,0.6412100000000001,3.0,13.0,166600.0,166613.0,13.0,10.56,29.0,56.90678637012855,10.15
3263617,f05427395184eefcdbabf2ede58eafe7,1,2019-01-02 16:56:00,2019-01-03 06:59:00,67046a1c102b4671928a27825a411f3bab2047165573f501750392f84a367071,14.06,1.98,6.25,3.72,16,1,21.3444,0.703195,2.0,15.0,166600.0,166615.0,15.0,13.02,31.0,70.16348092226076,12.08
3263552,dd2188e0ef3f83a0dd98c21e2a6c3b20,2,2019-01-02 16:12:00,2019-01-03 07:56:00,4616b21bf79618df9815b9f49550da62772ee6bc6c3a7e8f3b57908df873077d,15.73,13.46,46.26,3.6,16,1,77.6,0.0,14.0,16.0,166600.0,166616.0,16.0,8.801484230055658,32.0,47.430320342787184,8.531484230055659
3263694,c22d34a33765f9fda093859a85dcef50,2,2019-01-02 17:59:00,2019-01-03 07:46:00,7cb930966a0205be22589e610cd847b14cffb09f570392479efdda00dea27fa1,13.77,2.23,6.95,3.771,17,1,24.0394,0.6695075,3.0,14.0,166601.0,166615.0,14.0,11.77,31.0,63.427355641705766,11.54
3263706,c30032316311ded2c136e3a1e883437c,1,2019-01-02 18:12:00,2019-01-02 20:35:00,e59a18adfb09f245d41f900a88e140b8370cd0e898d74be6ac19c645f9e209eb,2.38,2.38,7.46,3.193,18,1,25.6564,0.649295,3.0,3.0,166602.0,166605.0,3.0,0.6199999999999997,21.0,3.341118139155273,-4.440892098500626e-16
3263753,cd388768773aa3a2ab4ccb15dc862701,1,2019-01-02 18:58:00,2019-01-03 05:57:00,715870e4ecbe9ee6de38c9f8839b1778871e5fa09d7c68284f1ccbaf9432b767,10.98,3.52,24.69,7.176,18,1,37.9456,0.49568,4.0,11.0,166602.0,166613.0,11.0,7.48,29.0,40.308973678841056,7.460000000000001
