date,price_da,price_im,ts
2019-01-09 16:00:00,0,0.0512,166768
2019-01-09 17:00:00,0,0.067,166769
2019-01-09 18:00:00,0,0.07564,166770
2019-01-09 19:00:00,0,0.04827,166771
2019-01-09 20:00:00,0,0.04409,166772
2019-01-09 21:00:00,0,0.02756,166773
2019-01-09 22:00:00,0,0.03237,166774
2019-01-09 23:00:00,0,0.02983,166775
2019-01-10 00:00:00,0,0.02941,166776
2019-01-10 01:00:00,0,0.02768,166777
2019-01-10 02:00:00,0,0.0512,166778
2019-01-10 03:00:00,0,0.04572,166779
2019-01-10 04:00:00,0,0.02979,166780
2019-01-10 05:00:00,0,0.04886,166781
2019-01-10 06:00:00,0,0.1164,166782
2019-01-10 07:00:00,0,0.17828,166783
2019-01-10 08:00:00,0,0.21519,166784
2019-01-10 09:00:00,0,0.04707,166785
2019-01-10 10:00:00,0,0.0467,166786
2019-01-10 11:00:00,0,0.04343,166787
2019-01-10 12:00:00,0,0.05,166788
2019-01-10 13:00:00,0,0.04367,166789
2019-01-10 14:00:00,0,0.04623,166790
2019-01-10 15:00:00,0,0.04451,166791
2019-01-10 16:00:00,0,0.22296,166792
2019-01-10 17:00:00,0,0.14116,166793
2019-01-10 18:00:00,0,0.04509,166794
2019-01-10 19:00:00,0,0.03143,166795
2019-01-10 20:00:00,0,0.01725,166796
2019-01-10 21:00:00,0,0.03924,166797
2019-01-10 22:00:00,0,0.03143,166798
2019-01-10 23:00:00,0,0.03402,166799
2019-01-11 00:00:00,0,0.03568,166800
2019-01-11 01:00:00,0,0.04228,166801
2019-01-11 02:00:00,0,0.04318,166802
2019-01-11 03:00:00,0,0.04353,166803
2019-01-11 04:00:00,0,0.14259,166804
2019-01-11 05:00:00,0,0.04343,166805
2019-01-11 06:00:00,0,0.06969,166806
2019-01-11 07:00:00,0,0.06914,166807
2019-01-11 08:00:00,0,0.06914,166808
2019-01-11 09:00:00,0,0.05357,166809
2019-01-11 10:00:00,0,0.04193,166810
2019-01-11 11:00:00,0,0.03728,166811
2019-01-11 12:00:00,0,0.04687,166812
2019-01-11 13:00:00,0,0.03328,166813
2019-01-11 14:00:00,0,0.02343,166814
2019-01-11 15:00:00,0,0.03317,166815
2019-01-11 16:00:00,0,0.03728,166816
2019-01-11 17:00:00,0,0.04375,166817
2019-01-11 18:00:00,0,0.03842,166818
2019-01-11 19:00:00,0,0.03328,166819
2019-01-11 20:00:00,0,0.04394,166820
2019-01-11 21:00:00,0,0.03568,166821
2019-01-11 22:00:00,0,0.04904,166822
2019-01-11 23:00:00,0,0.04288,166823
