session,ChargePoint,Connector,starttime_parking,endtime_parking,StartCard,connected_time_float,charged_time_float,total_energy,max_power,start_hour,day_no,energy_supplied,soc_arr,charged_time,connected_time,ts_arr,ts_dep,ts_soj,laxity,depart_hour,xi,laxity_float
3559688,fef9a643254dcfeaed8bbed48ba7bd26,1,2019-11-01 17:51:00,2019-11-02 16:01:00,a16ae7baa2fdf4eae38451f8eae8dc61f604a938147a702e8a153fc515d5da22,22.16,5.0,14.69,4.28,17,304,53.9,0.29625,5.0,23.0,173873.0,173896.0,23.0,18.0,40.0,97.00020403999184,17.16
3559634,02cdadd8d5a48b4d238b8c824cefd8a7,1,2019-11-01 17:08:00,2019-11-02 15:10:00,7ba53de22d9f11daac8f659a33af3c7c19a7d410e132aa9c9030d14aecf41d9f,22.04,1.5,4.1,3.4,17,304,16.169999999999998,0.767875,2.0,23.0,173873.0,173896.0,23.0,21.5,40.0,115.8613548255458,20.54
3559744,7ed30b066a5383b037955d0ab6992be1,2,2019-11-01 18:27:00,2019-11-01 20:04:00,a6aa367282fda8206e0b0a6b554fecbcd3e015cd9ce69de435fac0773ea3c81d,1.61,1.61,14.22,9.04,18,304,17.3558,0.7530525,2.0,2.0,173874.0,173876.0,2.0,0.3900000000000003,20.0,2.101671087533158,4.440892098500626e-16
3559796,4bc7647f23d7e846594a6f50dc28fb8e,1,2019-11-01 19:09:00,2019-11-01 21:26:00,fb4920c7748de39f4d339558c6840015af37bbd506eb47d573ad2d33766bd622,2.27,2.27,24.5,10.88,19,304,24.4706,0.6641175,3.0,3.0,173875.0,173878.0,3.0,0.73,22.0,3.933897163844114,0.0
3559798,94cb617682878c727b9757cd48878c12,1,2019-11-01 19:15:00,2019-11-01 22:23:00,5cc8fb5d6e60cee33149d90148507dddc42d852bfab7e1396a3728ef505ecffe,3.13,1.0,2.82,3.36,19,304,10.78,0.83525,1.0,4.0,173875.0,173879.0,4.0,3.0000000000000004,23.0,16.166700673331974,2.1300000000000003
3559973,29933517917b7cddb16679c17d179ec0,2,2019-11-02 06:51:00,2019-11-02 07:21:00,99c50f4f7fa74f32e5769afd4dcafa72a062cbc0da874c7d2b2a3f6e5836bcd0,0.5,0.5,1.74,3.52,6,305,5.39,0.902625,1.0,1.0,173886.0,173887.0,1.0,0.5000000000000002,7.0,2.694450112221997,2.220446049250313e-16
3559981,e0a3351ff6d05c9beb7a680c77efd052,2,2019-11-02 07:11:00,2019-11-02 07:25:00,1b536de61229cd2c9664da6f19cdb2c5675218b9cfa406bb87854732581f3aa1,0.23,0.23,1.03,10.189,7,305,2.4794,0.9390075,1.0,1.0,173887.0,173888.0,1.0,0.7700000000000001,8.0,4.1494531728218735,1.6653345369377348e-16
3560011,ec20a41cc16792c68a30b0890e0cd938,2,2019-11-02 07:56:00,2019-11-02 11:17:00,f16d1a753857d88d2818ab7484bb7ad4fff31c17d9cac2b68a964d8d81a473d6,3.36,3.36,11.89,6.113,7,305,36.2208,0.51724,4.0,4.0,173887.0,173891.0,4.0,0.6400000000000001,11.0,3.448896143644155,0.0
3559979,a18c0b8211cfaa418ad3321982856e54,1,2019-11-02 07:10:00,2019-11-02 10:28:00,05171945820897fc86b03c9dfa4f3b2c7eeb56b1f213214a0e32592898c3611f,3.29,2.57,21.91,10.579,7,305,27.7046,0.6236925,3.0,4.0,173887.0,173891.0,4.0,1.4299999999999995,11.0,7.706127320954906,0.7199999999999998
3559987,f1fe9bf09a6217336a138f9a573dd742,2,2019-11-02 07:26:00,2019-11-02 11:24:00,9b2b0bcd25094352d7c75e6a42d5d1ccd3c0add7d14b09fda1ee392278c3cef2,3.98,3.75,8.76,3.36,7,305,40.425,0.4646875,4.0,4.0,173887.0,173891.0,4.0,0.25,11.0,1.3472250561109975,0.2299999999999999
3559980,22df49d228c25d089d6f8c3f6af881ed,1,2019-11-02 07:11:00,2019-11-02 21:32:00,5732aa667ae2b721be265c2fb671b0ff647c5120af59f4a4ca96482572f682c9,14.35,8.9,23.64,3.36,7,305,77.6,0.0,9.0,15.0,173887.0,173902.0,15.0,7.801484230055658,22.0,42.0414201183432,7.151484230055658
3559998,34fe371013e9b904cb3ea5cb69671658,2,2019-11-02 07:44:00,2019-11-03 16:33:00,6a21354f427cf12662257f454b21f9e15c17636d98ee248a000c3847a8a6d155,32.81,4.5,43.97,10.124,7,305,48.51,0.363625,5.0,33.0,173887.0,173920.0,33.0,28.5,40.0,153.58365639665374,28.31
3560026,b7f44e6be0cc461323f89b2ae021cff1,1,2019-11-02 08:08:00,2019-11-02 08:38:00,2e70ca347bb4a706e79265f1f849aa94e8bbcb6f8276d24844b4c828761cee06,0.49,0.49,3.45,7.101,8,305,5.2822,0.9039725,1.0,1.0,173888.0,173889.0,1.0,0.5099999999999998,9.0,2.748339114466434,-1.6653345369377348e-16
3560020,6ae83b634c723edc55c648d2da8bf04f,1,2019-11-02 08:03:00,2019-11-02 16:28:00,93d5cfc0270dc5d1fab121de77113f0720b12c46d30795358020db464a2ab406,8.41,2.5,23.35,13.04,8,305,26.95,0.6331249999999999,3.0,9.0,173888.0,173897.0,9.0,6.5,17.0,35.02785145888594,5.91
3560095,3e355ead19f6592c310ad0547e8450c3,1,2019-11-02 09:00:00,2019-11-02 09:22:00,d3f1c025f256ee95ca2075c1a80347e644eb3f311c3fd75310b9f2b9dd15326d,0.37,0.37,1.08,2.945,9,305,3.9886,0.9201425,1.0,1.0,173889.0,173890.0,1.0,0.63,10.0,3.3950071413997147,0.0
3560181,442d55f3f7dbfc8c2fb8631ca6c3051f,2,2019-11-02 09:56:00,2019-11-02 10:28:00,d61b6f7f5f71e3f5ae607b788ba0f7dda61ba284293e198115822f05eba52975,0.53,0.53,1.83,3.492,9,305,5.7134,0.8985825,1.0,1.0,173889.0,173890.0,1.0,0.4699999999999997,10.0,2.5327831054886745,-2.220446049250313e-16
3560149,2b1314135c09b2b126be37664d6793ce,1,2019-11-02 09:35:00,2019-11-02 11:09:00,af794069065949bbbb5ab60f89018d0d79d192d682bbe9fe985a2a69de0df7b5,1.57,1.57,15.01,9.72,9,305,16.924599999999998,0.7584425,2.0,2.0,173889.0,173891.0,2.0,0.4300000000000001,11.0,2.317227096510917,2.220446049250313e-16
