idSess,soc_dis,t_dis,g,idx_theta_w,idx_theta_l
3607427,0.0,0.0,0.46824939628865037,-1,1
3607421,0.0,0.0,0.6054321344782831,0,-1
3607535,0.0,0.0,0.6683030402403549,-1,-1
3607511,0.0,0.0,0.6683030402403549,-1,-1
3607522,0.0,0.0,0.46824939628865037,-1,1
3607600,0.0,0.0,0.46824939628865037,-1,1
3607587,0.05893323479191541,3.0,0.4053784905265786,0,1
3607721,0.0,0.0,0.6683030402403549,-1,-1
3607710,0.0,0.0,0.46824939628865037,-1,1
3607780,0.0,0.0,0.6054321344782831,0,-1
3607862,0.0,0.0,0.6282826900491818,1,-1
3607910,0.05893323479191541,3.0,0.4053784905265786,0,1
3607871,0.0,0.0,0.46824939628865037,-1,1
3607836,0.0,0.0,0.46824939628865037,-1,1
3608014,0.0,0.0,0.6054321344782831,0,-1
3607949,0.0,0.0,0.46824939628865037,-1,1
3608051,0.05893323479191541,6.0,0.6054321344782831,0,2
3608022,0.0,0.0,0.6683030402403549,-1,-1
3608104,0.05893323479191541,3.0,0.4053784905265786,0,1
3608130,0.08749642925553869,6.0,0.6282826900491818,1,2
3608259,0.15419701290749385,6.0,0.6683030402403549,2,2
3608213,0.05893323479191541,6.0,0.6054321344782831,0,2
3608400,0.0,0.0,0.6683030402403549,-1,-1
3608392,0.08749642925553869,3.0,0.42822904609747725,1,1
3608283,0.05893323479191541,3.0,0.4053784905265786,0,1
3608374,0.05893323479191541,3.0,0.4053784905265786,0,1
3608268,0.08749642925553869,3.0,0.42822904609747725,1,1
3608350,0.05893323479191541,6.0,0.6054321344782831,0,2
3608451,0.0,0.0,0.6054321344782831,0,-1
3608500,0.0,0.0,0.46824939628865037,-1,1
3608507,0.05893323479191541,3.0,0.4053784905265786,0,1
3608450,0.0,0.0,0.6054321344782831,0,-1
3608435,0.05893323479191541,6.0,0.6054321344782831,0,2
3608613,0.0,0.0,0.3539560514921607,-1,0
3608619,0.15419701290749385,6.0,0.6683030402403549,2,2
3608586,0.08749642925553869,6.0,0.6282826900491818,1,2
3608631,0.05893323479191541,3.0,0.4053784905265786,0,1
3608703,0.0,0.0,0.6683030402403549,-1,-1
3608778,0.0,0.0,0.6683030402403549,-1,-1
3608780,0.0,0.0,0.46824939628865037,-1,1
3608861,0.0,0.0,0.3539560514921607,-1,0
3608920,0.0,0.0,0.6054321344782831,0,-1
3608914,0.0,0.0,0.6683030402403549,-1,-1
3608913,0.15419701290749385,6.0,0.6683030402403549,2,2
3609073,0.0,0.0,0.6683030402403549,-1,-1
3609116,0.0,0.0,0.6054321344782831,0,-1
3609080,0.0,0.0,0.46824939628865037,-1,1
3609120,0.08749642925553869,3.0,0.42822904609747725,1,1
3609017,0.05893323479191541,6.0,0.6054321344782831,0,2
3609076,0.08749642925553869,3.0,0.42822904609747725,1,1
3609277,0.0,0.0,0.6683030402403549,-1,-1
3609299,0.0,0.0,0.46824939628865037,-1,1
3609371,0.0,0.0,0.6683030402403549,-1,-1
3609655,0.0,0.0,0.3539560514921607,-1,0
3609659,0.0,0.0,0.3539560514921607,-1,0
3609720,0.15419701290749385,3.0,0.46824939628865037,2,1
3609737,0.0,0.0,0.6683030402403549,-1,-1
3609807,0.0,0.0,0.6054321344782831,0,-1
3609757,0.05893323479191541,3.0,0.4053784905265786,0,1
3609803,0.0,0.0,0.46824939628865037,-1,1
3609764,0.0,0.0,0.6683030402403549,-1,-1
3609835,0.0,0.0,0.6683030402403549,-1,-1
3609956,0.0,0.0,0.6683030402403549,-1,-1
3610078,0.15419701290749385,2.0,0.3539560514921607,2,0
3610131,0.0,0.0,0.6683030402403549,-1,-1
3610106,0.0,0.0,0.3539560514921607,-1,0
3610124,0.0,0.0,0.6054321344782831,0,-1
3610099,0.0,0.0,0.46824939628865037,-1,1
3610162,0.0,0.0,0.6054321344782831,0,-1
3610182,0.0,0.0,0.6683030402403549,-1,-1
3610231,0.0,0.0,0.6054321344782831,0,-1
3610296,0.0,0.0,0.6054321344782831,0,-1
3610344,0.0,0.0,0.6054321344782831,0,-1
3610374,0.0,0.0,0.6683030402403549,-1,-1
3610312,0.0,0.0,0.46824939628865037,-1,1
3610394,0.0,0.0,0.46824939628865037,-1,1
3610401,0.0,0.0,0.46824939628865037,-1,1
3610336,0.15419701290749385,2.0,0.3539560514921607,2,0
3610502,0.0,0.0,0.6054321344782831,0,-1
3610442,0.0,0.0,0.6683030402403549,-1,-1
3610588,0.0,0.0,0.46824939628865037,-1,1
3610698,0.15419701290749385,2.0,0.3539560514921607,2,0
3610780,0.0,0.0,0.46824939628865037,-1,1
3610766,0.08749642925553869,6.0,0.6282826900491818,1,2
